DATE,RS,SP,RJ,SC,CE
26.2.20,0,1,0,0,0
27.2.20,0,1,0,0,0
28.2.20,0,1,0,0,0
29.2.20,0,2,0,0,0
01.3.20,0,2,0,0,0
02.3.20,0,2,0,0,0
03.3.20,0,2,0,0,0
04.3.20,0,4,0,0,0
05.3.20,0,6,1,0,0
06.3.20,0,6,1,0,0
07.3.20,0,6,1,0,0
08.3.20,0,0,3,0,0
09.3.20,0,16,3,0,0
10.3.20,1,16,5,0,0
11.3.20,2,30,13,0,0
12.3.20,4,41,16,1,0
13.3.20,6,56,19,3,0
14.3.20,6,65,22,4,0
15.3.20,6,136,24,6,0
16.3.20,6,152,31,7,0
17.3.20,10,164,33,7,5
18.3.20,19,240,45,10,20
19.3.20,28,286,65,20,24
20.3.20,37,396,109,21,55
21.3.20,60,459,119,51,68
22.3.20,85,631,186,57,112
23.3.20,90,745,233,68,163
24.3.20,98,810,305,107,182
