DATE,BR,CH,IT,JP,FR,ES,US,ZA
22.1.20,0,548,0,2,0,0,1,0
23.1.20,0,643,0,2,0,0,1,0
24.1.20,0,920,0,2,2,0,2,0
25.1.20,0,1406,0,2,3,0,2,0
26.1.20,0,2075,0,4,3,0,5,0
27.1.20,0,2877,0,4,3,1,5,0
28.1.20,0,5509,0,7,4,4,5,0
29.1.20,0,6087,0,7,5,4,5,0
30.1.20,0,8141,0,11,5,4,5,0
31.1.20,0,9802,2,15,5,5,7,0
01.2.20,0,11891,2,20,6,8,8,0
02.2.20,0,16630,2,20,6,10,8,0
03.2.20,0,19716,2,20,6,12,11,0
04.2.20,0,23707,2,22,6,12,11,0
05.2.20,0,27440,2,22,6,12,11,0
06.2.20,0,30587,2,22,6,12,11,0
07.2.20,0,34110,3,25,6,13,11,0
08.2.20,0,36814,3,25,11,13,11,0
09.2.20,0,39829,3,26,11,14,11,0
10.2.20,0,42354,3,26,11,14,11,0
11.2.20,0,44386,3,26,11,16,12,0
12.2.20,0,44759,3,28,11,16,12,0
13.2.20,0,59895,3,28,11,16,13,0
14.2.20,0,66358,3,29,11,16,13,0
15.2.20,0,68413,3,43,12,16,13,0
16.2.20,0,70513,3,59,12,16,13,0
17.2.20,0,72434,3,66,12,16,13,0
18.2.20,0,74211,3,74,12,16,13,0
19.2.20,0,74619,3,84,12,16,13,0
20.2.20,0,75077,3,94,12,16,13,0
21.2.20,0,75550,20,105,12,16,15,0
22.2.20,0,77001,62,122,12,16,15,0
23.2.20,0,77022,155,147,12,16,15,0
24.2.20,0,77241,229,159,12,16,51,0
25.2.20,0,77754,322,170,14,17,51,0
26.2.20,1,78166,453,189,18,27,57,0
27.2.20,1,78600,655,214,38,46,58,0
28.2.20,1,78928,888,228,57,48,60,0
29.2.20,2,79356,1128,241,100,79,68,0
01.3.20,2,79932,1694,256,130,130,74,0
02.3.20,2,80136,2036,274,191,159,98,0
03.3.20,2,80261,2502,293,204,196,118,0
04.3.20,4,80386,3089,331,285,262,149,0
05.3.20,8,80537,3858,360,377,482,217,1
06.3.20,13,80690,4636,420,653,670,262,1
07.3.20,13,80770,5883,461,949,799,402,1
08.3.20,20,80823,7375,502,1126,1040,518,3
09.3.20,25,80860,9172,511,1209,1176,583,3
10.3.20,31,80887,10149,581,1784,1457,959,7
11.3.20,38,80921,12462,639,2281,1908,1281,13
12.3.20,52,80932,12462,639,2281,2078,1663,17
13.3.20,151,80945,17660,701,3661,3675,2179,24
14.3.20,151,80977,21157,773,4469,4585,2727,38
15.3.20,162,81003,24747,839,4499,5795,3499,51
16.3.20,200,81033,27980,839,6633,7272,4632,62
17.3.20,321,81058,31506,878,7652,9257,6421,62
18.3.20,372,81102,35713,889,9043,12327,7783,116
19.3.20,621,81156,41035,924,10871,15320,13677,150
20.3.20,793,81250,47021,963,12612,19848,19100,202
21.3.20,1021,81305,53578,1007,14282,22213,25489,240
22.3.20,1546,81435,59138,1101,16018,24873,33276,274
23.3.20,1924,81498,63927,1128,19856,29056,43847,402
24.3.20,2247,81591,69176,1193,22304,32986,53740,554
25.3.20,2554,81661,74386,1307,25233,49515,65778,709
26.3.20,2985,81782,80589,1387,29155,57786,83836,927
